e1,alpha1,e2,alpha2,e3,alpha3,e4,alpha4,e5,alpha5,e6,alpha6,e7,alpha7
1.8195,1.508,,,,,,,,,,,,
1.8187,1.53151,,,,,,,,,,,,
1.8178,1.78353,,,,,,,,,,,,
1.817,1.84567,,,,,,,,,,,,
1.8162,1.71506,,,,,,,,,,,,
1.8153,1.50259,,,,,,,,,,,,
1.8145,1.59316,,,,,,,,,,,,
1.8137,1.55801,,,,,,,,,,,,
1.8128,1.17144,,,,,,,,,,,,
1.812,0.60663,,,,,,,,,,,,
1.8112,0.53643,,,,,,,,,,,,
1.8103,0.50369,,,,,,,,,,,,
1.8095,0.29076,,,,,,,,,,,,
1.8087,0.46722,,,,,,,,,,,,
1.8083,0.34941,,,,,,,,,,,,
1.8075,0.54818,,,,,,,,,,,,
1.8067,0.47598,,,,,,,,,,,,
1.8059,0.34369,,,,,,,,,,,,
1.805,0.42381,,,,,,,,,,,,
1.8042,0.66278,,,,,,,,,,,,
1.8034,0.95301,,,,,,,,,,,,
1.8026,1.02263,,,,,,,,,,,,
1.8018,0.91713,,,,,,,,,,,,
1.801,0.97687,,,,,,,,,,,,
1.8001,1.20671,,,,,,,,,,,,
