e1,alpha1,e2,alpha2,e3,alpha3,e4,alpha4,e5,alpha5,e6,alpha6,e7,alpha7
2.0523,2.8314,2.0245,3.29351,1.977,3.36928,1.9282,3.69177,1.8707,3.91793,1.8142,1.36946,,
2.0512,2.91412,2.0234,3.38526,1.9759,3.44298,1.9271,4.44565,1.8696,4.96826,1.8131,2.10789,,
2.0502,2.8364,2.0224,3.4366,1.9749,3.23621,1.9261,4.18569,1.8686,4.62439,1.8121,1.79785,,
2.0491,3.06531,2.0213,3.78368,1.9738,3.34693,1.925,4.29832,1.8675,4.77341,1.811,1.86726,,
2.0481,2.37065,2.0203,2.93104,1.9728,2.81026,1.924,4.13442,1.8665,4.59146,1.81,1.68962,,
2.047,1.19176,2.0192,1.60365,1.9717,1.77987,1.9229,3.13398,1.8654,3.40723,1.8089,0.77176,,
2.046,1.60237,2.0182,2.10924,1.9707,2.0955,1.9219,3.63078,1.8644,4.08379,1.8079,1.23014,,
2.045,1.67834,2.0172,2.40401,1.9697,1.95266,1.9209,2.94049,1.8634,3.19708,1.8069,0.52923,,
2.0439,1.85994,2.0161,2.58399,1.9686,2.13589,1.9198,2.90289,1.8623,3.08513,1.8058,0.40254,,
2.0429,1.89793,2.0151,2.62645,1.9676,2.16942,1.9188,2.86185,1.8613,3.09935,1.8048,0.36807,,
2.0418,2.11439,2.014,2.76565,1.9665,2.46312,1.9177,3.2997,1.8602,3.69974,1.8037,0.77389,,
2.0408,2.17517,2.013,2.74412,1.9655,2.60622,1.9167,3.37372,1.8592,3.7826,1.8027,0.79381,,
2.0397,3.39109,2.0119,4.21335,1.9644,3.56882,1.9156,3.97471,1.8581,4.3691,1.8016,1.18648,,
2.0387,3.28842,2.0109,4.06406,1.9634,3.51278,1.9146,3.99019,1.8571,4.32635,1.8006,1.11854,,
2.0377,3.31151,2.0099,3.97656,1.9624,3.64647,1.9136,4.38028,1.8561,4.73279,,,,
2.0366,3.80698,2.0088,4.55346,1.9613,4.0605,1.9125,4.76043,1.855,5.12098,,,,
2.0356,4.07423,2.0078,4.86805,1.9603,4.2804,1.9115,4.95162,1.854,5.32667,,,,
2.0346,3.51769,2.0068,3.96149,1.9593,4.07389,1.9105,5.11988,1.853,5.5022,,,,
2.0335,3.23148,2.0057,3.52078,1.9582,3.94217,1.9094,5.17184,1.8519,5.56536,,,,
2.0325,3.39261,2.0047,3.71278,1.9572,4.07244,1.9084,5.19115,1.8509,5.60825,,,,
2.0315,4.0269,2.0037,4.61114,1.9562,4.44266,1.9074,5.02575,1.8499,5.37761,,,,
2.0304,4.64685,2.0026,5.52351,1.9551,4.77019,1.9063,4.92672,1.8488,5.33651,,,,
2.0294,3.58693,2.0016,4.13872,1.9541,4.03513,1.9053,4.61436,1.8478,5.13804,,,,
2.0284,3.03041,2.0006,3.39719,1.9531,3.66363,1.9043,4.5139,1.8468,5.10021,,,,
2.0274,3.70503,1.9996,4.38947,1.9521,4.02059,1.9033,4.43228,1.8458,4.96784,,,,
2.0263,3.32923,1.9985,3.9186,1.951,3.73985,1.9022,4.40395,1.8447,4.94035,,,,
2.0253,2.86312,1.9975,3.41224,1.95,3.314,1.9012,4.18157,1.8437,4.67268,,,,
