"","est_val","errors"
"eg",2.17010462821389,0.000460310069284732
"en",0.048466557333384,9.20550088780533e-06
"ec",2.26703774288066,0.000460678114165733
"alpha1",53.695173070146,0.0630934843450915
"alpha2",42225.993334266,219.368111418294
